班级,年级,专业,班号,人数,院系,课程数,教师数
2022级产品设计1班,2022,产品设计,1,38,艺术设计系(学院),3,3
2022级产品设计2班,2022,产品设计,2,38,艺术设计系(学院),3,3
2022级产品设计3班,2022,产品设计,3,22,艺术设计系(学院),3,3
2022级人工智能1班,2022,人工智能,1,40,电子信息与计算机工程系(学院),0,0
2022级休闲体育3班,2022,休闲体育,3,22,体育系(学院),5,5
2022级休闲体育专业1班,2022,休闲体育专业,1,40,体育系(学院),5,5
2022级休闲体育专业2班,2022,休闲体育专业,2,34,体育系(学院),5,6
2022级会计学1班,2022,会计学,1,38,经济系(学院),3,4
2022级会计学2班,2022,会计学,2,36,经济系(学院),3,4
2022级会计学3班,2022,会计学,3,39,经济系(学院),3,4
2022级会计学4班,2022,会计学,4,40,经济系(学院),3,4
2022级会计学5班,2022,会计学,5,37,经济系(学院),3,4
2022级会计学6班,2022,会计学,6,35,经济系(学院),3,4
2022级会计学7班,2022,会计学,7,34,经济系(学院),3,4
2022级会计学8班,2022,会计学,8,41,经济系(学院),3,4
2022级会计学9班,2022,会计学,9,45,经济系(学院),3,4
2022级土木工程1班,2022,土木工程,1,42,资源勘查与土木工程系(学院),4,4
2022级土木工程2班,2022,土木工程,2,34,资源勘查与土木工程系(学院),2,2
2022级土木工程3班,2022,土木工程,3,32,资源勘查与土木工程系(学院),2,2
2022级土木工程4班,2022,土木工程,4,24,资源勘查与土木工程系(学院),3,3
2022级土木工程5班,2022,土木工程,5,47,资源勘查与土木工程系(学院),4,4
2022级土木工程6班,2022,土木工程,6,31,资源勘查与土木工程系(学院),2,2
2022级地质学1班,2022,地质学,1,49,资源勘查与土木工程系(学院),3,3
2022级城乡规划1班,2022,城乡规划,1,48,资源勘查与土木工程系(学院),3,2
2022级安全工程1班,2022,安全工程,1,39,资源勘查与土木工程系(学院),3,3
2022级安全工程2班,2022,安全工程,2,36,资源勘查与土木工程系(学院),3,3
2022级审计学1班,2022,审计学,1,54,经济系(学院),3,3
2022级审计学2班,2022,审计学,2,53,经济系(学院),3,3
2022级工业设计1班,2022,工业设计,1,37,艺术设计系(学院),2,2
2022级工商管理1班,2022,工商管理,1,42,管理与传媒系(学院),4,4
2022级工商管理2班,2022,工商管理,2,21,管理与传媒系(学院),4,4
2022级工商管理3班,2022,工商管理,3,22,管理与传媒系(学院),4,4
2022级工程管理1班,2022,工程管理,1,45,资源勘查与土木工程系(学院),4,3
2022级工程造价(本)1班,2022,工程造价(本),1,38,资源勘查与土木工程系(学院),3,2
2022级工程造价(本)2班,2022,工程造价(本),2,37,资源勘查与土木工程系(学院),3,2
2022级工程造价(本)3班,2022,工程造价(本),3,32,资源勘查与土木工程系(学院),3,2
2022级工程造价(本)4班,2022,工程造价(本),4,34,资源勘查与土木工程系(学院),3,2
2022级工程造价（本）5班,2022,工程造价（本）,5,51,资源勘查与土木工程系(学院),3,2
2022级应用物理学1班,2022,应用物理学,1,36,核工程与新能源技术系(学院),3,6
2022级数字媒体技术1班,2022,数字媒体技术,1,45,电子信息与计算机工程系(学院),1,1
2022级数字媒体技术2班,2022,数字媒体技术,2,41,电子信息与计算机工程系(学院),1,1
2022级数字媒体艺术1班,2022,数字媒体艺术,1,41,艺术设计系(学院),0,0
2022级数字媒体艺术2班,2022,数字媒体艺术,2,39,艺术设计系(学院),0,0
2022级数字媒体艺术3班,2022,数字媒体艺术,3,34,艺术设计系(学院),0,0
2022级数据科学与大数据技术1班,2022,数据科学与大数据技术,1,47,电子信息与计算机工程系(学院),1,2
2022级数据科学与大数据技术2班,2022,数据科学与大数据技术,2,45,电子信息与计算机工程系(学院),1,2
2022级智能制造工程1班,2022,智能制造工程,1,36,自动化工程系(学院),2,1
2022级智能车辆工程1班,2022,智能车辆工程,1,47,自动化工程系(学院),3,3
2022级智能车辆工程2班,2022,智能车辆工程,2,40,自动化工程系(学院),2,2
2022级机器人工程1班,2022,机器人工程,1,43,自动化工程系(学院),5,4
2022级机械工程1班,2022,机械工程,1,44,自动化工程系(学院),6,5
