feature,gain,split
course_name_code,462508.4804316461,10738
class_name_code,442137.0473126471,3182
course_code_code,419419.9939095378,4279
teacher_name_code,406782.7009768039,2486
teacher_no_code,387315.13547843695,3394
student_count,208704.85894715786,1580
class_major_code,192374.31504389644,1265
class_no,165907.5392126292,858
total_hours,161119.7298628688,928
class_department_code,71891.43136668205,640
class_grade,51000.99380779266,266
required_room_type_code,27962.513695955276,168
course_type_code,0.0,0
