sample_id,teaching_task_id,candidate_classroom_id,candidate_time_slot_id,course_type,total_hours,required_room_type,class_group_count,total_student_count,teacher_department,teacher_title,teacher_max_weekly_hours,room_capacity,room_type,room_building,capacity_margin,capacity_ratio,week_number,day_of_week,period_index,is_morning,is_afternoon,is_evening,is_early_period,is_late_period,teacher_occupied_at_slot,class_occupied_at_slot,room_occupied_at_slot,teacher_day_load,class_day_load,teacher_week_load,class_week_load,is_capacity_enough,is_room_type_match,has_teacher_conflict,has_class_conflict,has_room_conflict,has_hard_conflict,sample_weight,score,reject_reason
confirmed_item_58363,1,13,188,专业核心课,48,,2,82,电子信息与计算机工程系,教授,12,100,阶梯教室,综合楼C座,18,1.2195,8,4,2,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1.0,1.0,confirmed_item_positive
confirmed_item_58364,1,4,441,专业核心课,48,,2,82,电子信息与计算机工程系,教授,12,100,阶梯教室,综合楼A座,18,1.2195,9,4,4,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1.0,1.0,confirmed_item_positive
confirmed_item_58365,1,16,473,专业核心课,48,,2,82,电子信息与计算机工程系,教授,12,120,阶梯教室,综合楼A座,38,1.4634,5,2,4,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1.0,1.0,confirmed_item_positive
confirmed_item_58366,1,4,177,专业核心课,48,,2,82,电子信息与计算机工程系,教授,12,100,阶梯教室,综合楼A座,18,1.2195,15,5,2,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1.0,1.0,confirmed_item_positive
confirmed_item_58367,1,16,353,专业核心课,48,,2,82,电子信息与计算机工程系,教授,12,120,阶梯教室,综合楼A座,38,1.4634,11,2,3,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1.0,1.0,confirmed_item_positive
confirmed_item_58368,1,16,462,专业核心课,48,,2,82,电子信息与计算机工程系,教授,12,120,阶梯教室,综合楼A座,38,1.4634,12,3,4,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1.0,1.0,confirmed_item_positive
confirmed_item_58369,1,13,203,专业核心课,48,,2,82,电子信息与计算机工程系,教授,12,100,阶梯教室,综合楼C座,18,1.2195,5,3,2,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1.0,1.0,confirmed_item_positive
confirmed_item_58370,1,13,466,专业核心课,48,,2,82,电子信息与计算机工程系,教授,12,100,阶梯教室,综合楼C座,18,1.2195,16,3,4,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1.0,1.0,confirmed_item_positive
confirmed_item_58371,1,16,211,专业核心课,48,,2,82,电子信息与计算机工程系,教授,12,120,阶梯教室,综合楼A座,38,1.4634,13,3,2,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1.0,1.0,confirmed_item_positive
confirmed_item_58372,1,4,482,专业核心课,48,,2,82,电子信息与计算机工程系,教授,12,100,阶梯教室,综合楼A座,18,1.2195,14,2,4,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1.0,1.0,confirmed_item_positive
confirmed_item_58373,1,16,444,专业核心课,48,,2,82,电子信息与计算机工程系,教授,12,120,阶梯教室,综合楼A座,38,1.4634,12,4,4,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1.0,1.0,confirmed_item_positive
confirmed_item_58374,1,4,484,专业核心课,48,,2,82,电子信息与计算机工程系,教授,12,100,阶梯教室,综合楼A座,18,1.2195,16,2,4,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1.0,1.0,confirmed_item_positive
confirmed_item_58375,1,4,183,专业核心课,48,,2,82,电子信息与计算机工程系,教授,12,100,阶梯教室,综合楼A座,18,1.2195,3,4,2,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1.0,1.0,confirmed_item_positive
confirmed_item_58376,1,4,215,专业核心课,48,,2,82,电子信息与计算机工程系,教授,12,100,阶梯教室,综合楼A座,18,1.2195,17,3,2,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1.0,1.0,confirmed_item_positive
confirmed_item_58377,1,16,169,专业核心课,48,,2,82,电子信息与计算机工程系,教授,12,120,阶梯教室,综合楼A座,38,1.4634,7,5,2,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1.0,1.0,confirmed_item_positive
confirmed_item_58378,1,4,206,专业核心课,48,,2,82,电子信息与计算机工程系,教授,12,100,阶梯教室,综合楼A座,18,1.2195,8,3,2,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1.0,1.0,confirmed_item_positive
confirmed_item_58379,1,16,329,专业核心课,48,,2,82,电子信息与计算机工程系,教授,12,120,阶梯教室,综合楼A座,38,1.4634,5,3,3,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1.0,1.0,confirmed_item_positive
confirmed_item_58380,1,16,337,专业核心课,48,,2,82,电子信息与计算机工程系,教授,12,120,阶梯教室,综合楼A座,38,1.4634,13,3,3,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1.0,1.0,confirmed_item_positive
confirmed_item_58381,1,13,355,专业核心课,48,,2,82,电子信息与计算机工程系,教授,12,100,阶梯教室,综合楼C座,18,1.2195,13,2,3,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1.0,1.0,confirmed_item_positive
confirmed_item_58382,1,13,176,专业核心课,48,,2,82,电子信息与计算机工程系,教授,12,100,阶梯教室,综合楼C座,18,1.2195,14,5,2,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1.0,1.0,confirmed_item_positive
confirmed_item_58383,1,13,315,专业核心课,48,,2,82,电子信息与计算机工程系,教授,12,100,阶梯教室,综合楼C座,18,1.2195,9,4,3,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1.0,1.0,confirmed_item_positive
confirmed_item_58384,1,13,310,专业核心课,48,,2,82,电子信息与计算机工程系,教授,12,100,阶梯教室,综合楼C座,18,1.2195,4,4,3,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1.0,1.0,confirmed_item_positive
confirmed_item_58385,1,16,448,专业核心课,48,,2,82,电子信息与计算机工程系,教授,12,120,阶梯教室,综合楼A座,38,1.4634,16,4,4,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1.0,1.0,confirmed_item_positive
confirmed_item_58386,1,13,460,专业核心课,48,,2,82,电子信息与计算机工程系,教授,12,100,阶梯教室,综合楼C座,18,1.2195,10,3,4,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1.0,1.0,confirmed_item_positive
confirmed_item_58387,2,2,476,专业核心课,48,,1,42,电子信息与计算机工程系,副教授,12,80,普通教室,综合楼A座,38,1.9048,8,2,4,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1.0,1.0,confirmed_item_positive
confirmed_item_58388,2,2,313,专业核心课,48,,1,42,电子信息与计算机工程系,副教授,12,80,普通教室,综合楼A座,38,1.9048,7,4,3,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1.0,1.0,confirmed_item_positive
confirmed_item_58389,2,2,443,专业核心课,48,,1,42,电子信息与计算机工程系,副教授,12,80,普通教室,综合楼A座,38,1.9048,11,4,4,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1.0,1.0,confirmed_item_positive
confirmed_item_58390,2,2,365,专业核心课,48,,1,42,电子信息与计算机工程系,副教授,12,80,普通教室,综合楼A座,38,1.9048,5,1,3,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1.0,1.0,confirmed_item_positive
confirmed_item_58391,2,2,224,专业核心课,48,,1,42,电子信息与计算机工程系,副教授,12,80,普通教室,综合楼A座,38,1.9048,8,2,2,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1.0,1.0,confirmed_item_positive
confirmed_item_58392,2,10,318,专业核心课,48,,1,42,电子信息与计算机工程系,副教授,12,60,机房/实验室,综合楼B座,18,1.4286,12,4,3,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1.0,1.0,confirmed_item_positive
confirmed_item_58393,2,2,502,专业核心课,48,,1,42,电子信息与计算机工程系,副教授,12,80,普通教室,综合楼A座,38,1.9048,16,1,4,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1.0,1.0,confirmed_item_positive
confirmed_item_58394,2,2,182,专业核心课,48,,1,42,电子信息与计算机工程系,副教授,12,80,普通教室,综合楼A座,38,1.9048,2,4,2,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1.0,1.0,confirmed_item_positive
confirmed_item_58395,2,2,196,专业核心课,48,,1,42,电子信息与计算机工程系,副教授,12,80,普通教室,综合楼A座,38,1.9048,16,4,2,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1.0,1.0,confirmed_item_positive
confirmed_item_58396,2,2,251,专业核心课,48,,1,42,电子信息与计算机工程系,副教授,12,80,普通教室,综合楼A座,38,1.9048,17,1,2,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1.0,1.0,confirmed_item_positive
confirmed_item_58397,2,9,226,专业核心课,48,,1,42,电子信息与计算机工程系,副教授,12,60,机房/实验室,综合楼B座,18,1.4286,10,2,2,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1.0,1.0,confirmed_item_positive
confirmed_item_58398,2,2,449,专业核心课,48,,1,42,电子信息与计算机工程系,副教授,12,80,普通教室,综合楼A座,38,1.9048,17,4,4,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1.0,1.0,confirmed_item_positive
confirmed_item_58399,2,2,361,专业核心课,48,,1,42,电子信息与计算机工程系,副教授,12,80,普通教室,综合楼A座,38,1.9048,1,1,3,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1.0,1.0,confirmed_item_positive
confirmed_item_58400,2,2,242,专业核心课,48,,1,42,电子信息与计算机工程系,副教授,12,80,普通教室,综合楼A座,38,1.9048,8,1,2,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1.0,1.0,confirmed_item_positive
confirmed_item_58401,2,2,194,专业核心课,48,,1,42,电子信息与计算机工程系,副教授,12,80,普通教室,综合楼A座,38,1.9048,14,4,2,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1.0,1.0,confirmed_item_positive
confirmed_item_58402,2,2,501,专业核心课,48,,1,42,电子信息与计算机工程系,副教授,12,80,普通教室,综合楼A座,38,1.9048,15,1,4,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1.0,1.0,confirmed_item_positive
confirmed_item_58403,2,2,308,专业核心课,48,,1,42,电子信息与计算机工程系,副教授,12,80,普通教室,综合楼A座,38,1.9048,2,4,3,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1.0,1.0,confirmed_item_positive
confirmed_item_58404,2,2,439,专业核心课,48,,1,42,电子信息与计算机工程系,副教授,12,80,普通教室,综合楼A座,38,1.9048,7,4,4,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1.0,1.0,confirmed_item_positive
confirmed_item_58405,2,2,362,专业核心课,48,,1,42,电子信息与计算机工程系,副教授,12,80,普通教室,综合楼A座,38,1.9048,2,1,3,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1.0,1.0,confirmed_item_positive
confirmed_item_58406,2,2,195,专业核心课,48,,1,42,电子信息与计算机工程系,副教授,12,80,普通教室,综合楼A座,38,1.9048,15,4,2,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1.0,1.0,confirmed_item_positive
confirmed_item_58407,2,10,485,专业核心课,48,,1,42,电子信息与计算机工程系,副教授,12,60,机房/实验室,综合楼B座,18,1.4286,17,2,4,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1.0,1.0,confirmed_item_positive
